NAME,SAMPLE_ID,PLATE_ID,CAS,ATG_ID
Acid orange 156,TX006044,TP0000722,68555-86-2,AT001652
C12-14-Alkyl glycidyl ether,TX011488,TP0000721,68609-97-2,AT001653
"3-(2-Bromophenyl)-7-{[2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]amino}-1-methyl-3,4-dihydropyrimido[4,5-d]pyrimidin-2(1H)-one",TX012269,TP0000796,686756-87-6,AT001654
Triflumizole,TV000271,Phase_1,68694-11-1,AT001655
"3,5,3'-Triiodothyronine",TX006666,TP0000795,6893-02-3,AT001656
"3,5,3'-Triiodothyronine",TX006666,TP0000715,6893-02-3,AT001657
"3,5,3'-Triiodothyronine",TX106666,TP0000719,6893-02-3,AT001658
"3,5,3'-Triiodothyronine",TX206666,TP0000722,6893-02-3,AT001659
17alpha-Hydroxyprogesterone,TX004341,TP0000795,68-96-2,AT001660
17alpha-Hydroxyprogesterone,TX004341,TP0000715,68-96-2,AT001661
17alpha-Hydroxyprogesterone,TX104341,TP0000720,68-96-2,AT001662
17alpha-Hydroxyprogesterone,TX204341,TP0000720,68-96-2,AT001663
Chlorpromazine hydrochloride,TX007998,TP0000434,69-09-0,AT001664
2-Hydroxybutanedioic acid,TX003335,TP0000131,6915-15-7,AT001665
Monocrotophos,TV000384,Phase_1,6923-22-4,AT001666
Ethyl undec-10-enoate,TX005262,TP0000723,692-86-4,AT001667
Buprofezin,TV000166,Phase_1,69327-76-0,AT001668
Fluroxypyr,TV000198,Phase_1,69377-81-7,AT001669
5-Ethyldihydrofuran-2(3H)-one,TX003862,TP0000722,695-06-7,AT001670
"2,3-Dideoxyinosine",TX009701,TP0000434,69655-05-6,AT001671
D-Mannitol,TX006941,TP0000434,69-65-8,AT001672
Salicylic acid,TX002745,TP0000714,69-72-7,AT001673
Cytarabine hydrochloride,TX006990,TP0000434,69-74-9,AT001674
Haloxyfop-methyl,TX002796,TP0000722,69806-40-2,AT001675
Fluazifop-butyl,TV000250,Phase_1,69806-50-4,AT001676
2(3H)-Furanone 5-hexyldihydro-5-methyl-,TX008862,TP0000723,7011-83-8,AT001677
4-Toluenesulfonamide,TX002753,TP0000718,70-55-3,AT001678
(2-Nitro-1-propenyl)benzene,TX012241,TP0000715,705-60-2,AT001679
4-Butylcyclohexanol,TX012549,TP0000719,70568-60-4,AT001680
5-Hexyldihydro-2(3H)-furanone,TX003435,TP0000723,706-14-9,AT001681
Chloramine-T trihydrate,TX011632,TP0000720,7080-50-4,AT001682
Propanil,TV000115,Phase_1,709-98-8,AT001683
1-Propanol,TX011729,TP0000721,71-23-8,AT001684
Cyclohexylphenylketone,TX012521,TP0000795,712-50-5,AT001685
Cyclohexylphenylketone,TX012521,TP0000714,712-50-5,AT001686
Cyclohexylphenylketone,TX112521,TP0000719,712-50-5,AT001687
Cyclohexylphenylketone,TX212521,TP0000721,712-50-5,AT001688
Fenoxaprop-P-ethyl,TX004506,TP0000717,71283-80-2,AT001689
"2,2-Dichloro-1-(1-oxa-4-azaspiro[4.5]dec-4-yl)ethanone",TX008188,TP0000717,71526-07-3,AT001690
Didecyldimethylammonium chloride,TX010090,TP0000434,7173-51-5,AT001691
Abamectin,TV000149,Phase_1,71751-41-2,AT001692
"1,3,5-Triisopropylbenzene",TX003213,TP0000714,717-74-8,AT001693
Nerolidol,TX003265,TP0000722,7212-44-4,AT001694
Fomesafen,TX008020,TP0000434,72178-02-0,AT001695
Endrin,TX010388,TP0000434,72-20-8,AT001696
Mestranol,TX005789,TP0000721,72-33-3,AT001697
Methoxychlor,TV000075,Phase_1,72-43-5,AT001698
Methoxychlor,TX011583,TP0000715,72-43-5,AT001699
Methoxychlor,TX111583,TP0000716,72-43-5,AT001700
Methoxychlor,TX211583,TP0000722,72-43-5,AT001701
Methoxychlor ,TX006449,TO-53,72-43-5 ,AT001702
Fenoxycarb,TV000062,Phase_1,72490-01-8,AT001703
{4-[3-(aminomethyl)phenyl]piperidin-1-yl}{5-[(2-fluorophenyl)ethynyl]furan-2-yl}methanone,TX006240,plate-TO-5-2,725228-45-5,AT001704
"p,p'-DDD",TX005664,TP0000308,72-54-8,AT001705
"p,p'-DDE",TX003073,TP0000308,72-55-9,AT001706
"p,p'-DDE",TX003073,TP0000717,72-55-9,AT001707
"p,p'-DDE",TX103073,TP0000718,72-55-9,AT001708
"p,p'-DDE",TX203073,TP0000724,72-55-9,AT001709
"p,p'-DDE",TX006454,TO-53,72-55-9 ,AT001710
"p,p'-DDE",TX006491,TO-53,72-55-9 ,AT001711
Prometryn,TV000341,Phase_1,7287-19-6,AT001712
Phosmet,TX002705,TP0000308,732-11-6,AT001713
l-Tryptophan,TX002794,TP0000434,73-22-3,AT001714
"2,4,6-Tris(tert-butyl)phenol",TX003249,TP0000133,732-26-3,AT001715
Melatonin,TX009190,TP0000723,73-31-4,AT001716
"N,N-Dimethyloctylamine",TX002283,TP0000131,7378-99-6,AT001717
Dimethyldiallylammonium chloride,TX008902,TP0000718,7398-69-8,AT001718
Sethoxydim,TV000285,Phase_1,74051-80-2,AT001719
Clofentezine,TV000020,Phase_1,74115-24-5,AT001720
Bensulide,TV000097,Phase_1,741-58-2,AT001721
Bensulide,TV000318,Phase_1,741-58-2,AT001722
Bensulide,TV000334,Phase_1,741-58-2,AT001723
Metsulfuron-methyl,TV000151,Phase_1,74223-64-6,AT001724
2-chloro-N-{(S)-phenyl[(2S)-piperidin-2-yl]methyl}-3-(trifluoromethyl)benzamide,TX006223,plate-TO-5-2,742693-38-5,AT001725
Diphenyl isophthalate,TX005260,TP0000434,744-45-6,AT001726
Formamide,TX011203,TP0000795,75-12-7,AT001727
Lovastatin,TX006301,TP0000307,75330-75-5,AT001728
(3S)-37-Dimethyloct-6-en-1-ol,TX001059,TP0000721,7540-51-4,AT001729
Perfluorooctanesulfonamide,TX005621,TP0000434,754-91-6,AT001730
Trimethylamine,TX009485,TP0000718,75-50-3,AT001731
tert-Butylamine,TX001392,TP0000717,75-64-9,AT001732
Dimethyl methylphosphonate,TX007682,TP0000721,756-79-6,AT001733
2-Hydroxy-2-methylpropanenitrile,TX001918,TP0000716,75-86-5,AT001734
Dalapon,TX003079,TP0000434,75-99-0,AT001735
S-Ethyl dipropylthiocarbamate (EPTC),TV000178,Phase_1,759-94-4,AT001736
S-Ethyl dipropylthiocarbamate (EPTC),TV000259,Phase_1,759-94-4,AT001737
"3,4-Dichloro-1-butene",TX002287,TP0000714,760-23-6,AT001738
Trichloroacetic acid,TX005199,TP0000308,76-03-9,AT001739
Diethyl phosphite,TX007351,TP0000723,762-04-9,AT001740
Heptachlor,TX008463,TP0000434,76-44-8,AT001741
Bornyl acetate,TX005344,TP0000715,76-49-3,AT001742
Quizalofop-ethyl,TV000241,Phase_1,76578-14-8,AT001743
2-Ethylhexyl sulfanylacetate,TX009208,TP0000724,7659-86-1,AT001744
Paclobutrazol,TV000132,Phase_1,76738-62-0,AT001745
Ronidazole,TX012544,TP0000722,7681-76-7,AT001746
Tetramethrin,TV000197,Phase_1,7696-12-0,AT001747
4-tert-Butylaniline,TX012515,TP0000722,769-92-6,AT001748
1-Phenoxy-2-propanol,TX007706,TP0000720,770-35-4,AT001749
Gibberellic acid,TX010290,TP0000717,77-06-5,AT001750
Phenolphthalein,TX006959,TP0000307,77-09-8,AT001751
Bisphenol B,TX005859,TP0000308,77-40-7,AT001752
Bisphenol B,TX005859,TP0000716,77-40-7,AT001753
Bisphenol B,TX105859,TP0000720,77-40-7,AT001754
Bisphenol B,TX205859,TP0000720,77-40-7,AT001755
"5-Ethyl-1-aza-3,7-dioxabicyclo[3.3.0]octane",TX008972,TP0000434,7747-35-5,AT001756
Hexachlorocyclopentadiene,TX009813,TP0000795,77-47-4,AT001757
Hexachlorocyclopentadiene,TX009813,TP0000720,77-47-4,AT001758
"1,3-Dibromo-5,5-dimethylhydantoin",TX004028,TP0000131,77-48-5,AT001759
Lactofen,TV000397,Phase_1,77501-63-4,AT001760
"5,5-Dimethylhydantoin",TX002963,TP0000434,77-71-4,AT001761
Dicyclopentadiene,TX003858,TP0000714,77-73-6,AT001762
Dimethyl sulfate,TX011726,TP0000434,77-78-1,AT001763
"1,3,5-Triethylhexahydro-s-triazine",TX004832,TP0000714,7779-27-3,AT001764
Ethyl methylphenylglycidate,TX006889,TP0000723,77-83-8,AT001765
(-)-alpha-Pinene,TX009378,TP0000714,7785-26-4,AT001766
Tromethamine,TX002959,TP0000721,77-86-1,AT001767
Mevinphos,TV000251,Phase_1,7786-34-7,AT001768
Acetyltriethyl citrate,TX004120,TP0000795,77-89-4,AT001769
Acetyl tributyl citrate,TX010358,TP0000795,77-90-7,AT001770
Acetyl tributyl citrate,TX010358,TP0000717,77-90-7,AT001771
Citric acid,TX003295,TP0000133,77-92-9,AT001772
Triethyl citrate,TX001045,TP0000133,77-93-0,AT001773
Pentaerythritol tetranitrate,TX005392,TP0000719,78-11-5,AT001774
Triethyl phosphate,TX003373,TP0000716,78-40-0,AT001775
Tris(2-ethylhexyl) phosphate,TX009320,TP0000307,78-42-2,AT001776
Enterolactone,TX012538,TP0000723,78473-71-9,AT001777
Tribufos,TV000357,Phase_1,78-48-8,AT001778
Diazolidinyl urea,TX008733,TP0000723,78491-02-8,AT001779
Tris(2-butoxyethyl) phosphate,TX003075,TP0000718,78-51-3,AT001780
Hexythiazox,TV000371,Phase_1,78587-05-0,AT001781
Isophorone,TX002119,TP0000133,78-59-1,AT001782
"2,5-Dimethyl-2,5-di-(tert-butylperoxy)hexane",TX005044,TP0000308,78-63-7,AT001783
37-Dimethyl-3-octanol,TX009006,TP0000716,78-69-3,AT001784
Linalool,TX003187,TP0000716,78-70-6,AT001785
2-Methylpropanenitrile,TX009497,TP0000722,78-82-0,AT001786
2-Methylpropanal,TX004190,TP0000133,78-84-2,AT001787
"o,p'-DDT",TX011616,TP0000434,789-02-6,AT001788
"o,p'-DDT",TX011616,TP0000716,789-02-6,AT001789
"o,p'-DDT",TX111616,TP0000718,789-02-6,AT001790
"o,p'-DDT",TX211616,TP0000718,789-02-6,AT001791
1-Amino-2-propanol,TX005206,TP0000723,78-96-6,AT001792
Acrylamide,TX003513,TP0000133,79-06-1,AT001793
4-Chloropentylbenzene,TX012229,TP0000722,79098-20-7,AT001794
Glycolic acid,TX001906,TP0000133,79-14-1,AT001795
Glycolic acid,TX001906,TP0000721,79-14-1,AT001796
N-Methylacetamide,TX005681,TP0000308,79-16-3,AT001797
Fluazifop-P-butyl,TV000277,Phase_1,79241-46-6,AT001798
Nitroethane,TX002149,TP0000718,79-24-3,AT001799
Thifensulfuron-methyl,TX006577,TP0000715,79277-27-3,AT001800
Methacrylamide,TX001019,TP0000308,79-39-0,AT001801
Dichloroacetic acid,TX005990,TP0000434,79-43-6,AT001802
Dimethylcarbamoyl chloride,TX003171,TP0000308,79-44-7,AT001803
Tefluthrin,TV000252,Phase_1,79538-32-2,AT001804
Oxytetracycline,TX009863,TP0000724,79-57-2,AT001805
Fluazinam,TV000257,Phase_1,79622-59-6,AT001806
Norgestrel,TX012536,TP0000795,797-63-7,AT001807
Norgestrel,TX012536,TP0000714,797-63-7,AT001808
Norgestrel,TX112536,TP0000715,797-63-7,AT001809
Norgestrel,TX212536,TP0000722,797-63-7,AT001810
Simvastatin,TX005060,TP0000434,79902-63-9,AT001811
22-Dimethyl-3-methylenebicyclo[2.2.1]heptane,TX002309,TP0000723,79-92-5,AT001812
"3,3’,5,5’-Tetrabromobisphenol A",TX009342,TP0000434,79-94-7,AT001813
"2,2',6,6'-Tetrachlorobisphenol A",TX012528,TP0000721,79-95-8,AT001814
Hexaconazole,TV000249,Phase_1,79983-71-4,AT001815
Terpineol,TX008706,TP0000714,8000-41-7,AT001816
Benzalkonium chloride,TX007435,TP0000718,8001-54-5,AT001817
C.I. Acid yellow 3 disodium salt,TX007501,TP0000715,8004-92-0,AT001818
Bisphenol A,TV000003,Phase_1,80-05-7,AT001819
Bisphenol A,TX002800,TP0000131,80-05-7,AT001820
Bisphenol A,TX011629,TP0000716,80-05-7,AT001821
Bisphenol A,TX111629,TP0000721,80-05-7,AT001822
Bisphenol A,TX211629,TP0000724,80-05-7,AT001823
Bisphenol A ,TX006458,TO-53,80-05-7 ,AT001824
Bisphenol A ,TX006497,TO-53,80-05-7 ,AT001825
"4,4'-Dichlorodiphenyl sulfone",TX002317,TP0000720,80-07-9,AT001826
Dapsone,TX009316,TP0000434,80-08-0,AT001827
"4,4'-Sulfonyldiphenol",TX003349,TP0000719,80-09-1,AT001828
Cumene hydroperoxide,TX006981,TP0000307,80-15-9,AT001829
alpha-Terpinyl acetate,TX005794,TP0000723,80-26-2,AT001830
2-(4-Methylcyclohex-3-en-1-yl)propan-2-yl propanoate,TX005482,TP0000723,80-27-3,AT001831
Dicumyl peroxide,TX002361,TP0000308,80-43-3,AT001832
4-(2-Methylbutan-2-yl)phenol,TX002599,TP0000133,80-46-6,AT001833
3-(4-tert-Butylphenyl)-2-methylpropanal,TX002977,TP0000716,80-54-6,AT001834
alpha-Pinene,TX012547,TP0000714,80-56-8,AT001835
Etofenprox,TX003564,TP0000434,80844-07-1,AT001836
Saccharin,TX002176,TP0000720,81-07-2,AT001837
Pravastatin sodium,TX006305,TP0000307,81131-70-6,AT001838
Imazapyr,TV000165,Phase_1,81334-34-1,AT001839
Imazaquin,TV000256,Phase_1,81335-37-7,AT001840
Imazethapyr,TV000170,Phase_1,81335-77-5,AT001841
Imazmethabenz,TX008068,TP0000722,81405-85-8,AT001842
Fluroxypyr-meptyl,TV000162,Phase_1,81406-37-3,AT001843
Tributyltetradecylphosphonium chloride,TX005974,TP0000719,81741-28-8,AT001844
Clomazone,TV000140,Phase_1,81777-89-1,AT001845
Warfarin,TX008379,TP0000434,81-81-2,AT001846
2-Hydroxyethyl acrylate,TX004192,TP0000716,818-61-1,AT001847
Rhodamine B,TX003966,TP0000720,81-88-9,AT001848
Phenolphthalin,TX006869,TP0000795,81-90-3,AT001849
Phenolphthalin,TX006869,TP0000714,81-90-3,AT001850
Phenolphthalin,TX106869,TP0000714,81-90-3,AT001851
Phenolphthalin,TX206869,TP0000714,81-90-3,AT001852
Triasulfuron,TV000267,Phase_1,82097-50-5,AT001853
"1,6-Diisocyanatohexane",TX004050,TP0000133,822-06-0,AT001854
Sodium saccharin hydrate,TX010282,TP0000434,82385-42-0,AT001855
Sodium 2-nitrophenolate,TX004016,TP0000723,824-39-5,AT001856
Butyryl trihexyl citrate,TX008213,TP0000434,82469-79-2,AT001857
Sodium 4-nitrophenolate,TX006756,TP0000434,824-78-2,AT001858
Isoxaben,TV000069,Phase_1,82558-50-7,AT001859
"2-[3,5-Bis(trifluoromethyl)phenyl]-N-{4-(4-fluoro-2-methylphenyl)-6-[(2R,3R)-3-hydroxy-2-(hydroxymethyl)pyrrolidin-1-yl]pyridin-3-yl}-N,2-dimethylpropanamide",TX012265,TP0000795,825643-57-0,AT001860
Raloxifene hydrochloride,TX009795,TP0000795,82640-04-8,AT001861
Raloxifene hydrochloride,TX009795,TP0000717,82640-04-8,AT001862
Raloxifene hydrochloride,TX109795,TP0000723,82640-04-8,AT001863
Raloxifene hydrochloride,TX209795,TP0000723,82640-04-8,AT001864
Bifenthrin,TV000270,Phase_1,82657-04-3,AT001865
"4,7-Methanoisobenzofuran-1,3-dione, 3A,4,7,7A-tetrahydro-",TX006784,TP0000307,826-62-0,AT001866
Quintozene,TV000044,Phase_1,82-68-8,AT001867
Sodium 25-dimethylbenzenesulfonate,TX008062,TP0000722,827-19-0,AT001868
Benzenesulfonic acid 24-dimethyl- sodium salt,TX005456,TP0000716,827-21-4,AT001869
Dimethoxane,TX005808,TP0000434,828-00-2,AT001870
Bensulfuron-methyl,TV000189,Phase_1,83055-99-6,AT001871
Acenaphthene,TX001366,TP0000308,83-32-9,AT001872
"1,2-Dimethyl-3-nitrobenzene",TX001700,TP0000131,83-41-0,AT001873
Ametryn,TV000094,Phase_1,834-12-8,AT001874
Diniconazole,TV000281,Phase_1,83657-24-3,AT001875
Theobromine,TX001556,TP0000307,83-67-0,AT001876
Rotenone,TV000021,Phase_1,83-79-4,AT001877
2-Ethylhexyl trans-4-methoxycinnamate,TX006851,TP0000722,83834-59-7,AT001878
Riboflavin,TX003908,TP0000719,83-88-5,AT001879
Diphenyl phosphate,TX012217,TP0000720,838-85-7,AT001880
"4,4-Methylenebis(2-methylaniline)",TX005897,TP0000307,838-88-0,AT001881
Quinclorac,TV000084,Phase_1,84087-01-4,AT001882
meso-Hexestrol,TX003990,TP0000795,84-16-2,AT001883
meso-Hexestrol,TX003990,TP0000717,84-16-2,AT001884
meso-Hexestrol,TX103990,TP0000719,84-16-2,AT001885
meso-Hexestrol,TX203990,TP0000721,84-16-2,AT001886
C.I. Solvent yellow 14,TX008660,TP0000307,842-07-9,AT001887
Mifepristone,TX005847,TP0000795,84371-65-3,AT001888
Mifepristone,TX005847,TP0000715,84371-65-3,AT001889
Mifepristone,TX105847,TP0000717,84371-65-3,AT001890
Mifepristone,TX205847,TP0000718,84371-65-3,AT001891
Dicyclohexyl phthalate,TX003950,TP0000715,84-61-7,AT001892
Diethyl phthalate,TX005146,TP0000133,84-66-2,AT001893
Diisobutyl phthalate,TX010385,TP0000434,84-69-5,AT001894
Dibutyl phthalate,TV000026,Phase_1,84-74-2,AT001895
Dibutyl phthalate,TV000290,Phase_1,84-74-2,AT001896
Dibutyl phthalate,TX001545,TP0000714,84-74-2,AT001897
Dibutyl phthalate,TX101545,TP0000715,84-74-2,AT001898
Dibutyl phthalate,TX201545,TP0000722,84-74-2,AT001899
Di-n-butyl phthalate ,TX006462,TO-53,84-74-2 ,AT001900
Di-n-butyl phthalate ,TX006494,TO-53,84-74-2 ,AT001901
Dihexyl phthalate,TX004331,TP0000131,84-75-3,AT001902
4-Nonylphenol branched,TX009711,TP0000716,84852-15-3,AT001903
4-Nonylphenol branched,TX109711,TP0000719,84852-15-3,AT001904
4-Nonylphenol branched,TX209711,TP0000723,84852-15-3,AT001905
"4-Nonylphenol, branched",TX009711,TP0000434,84852-15-3,AT001906
4-Nonylphenol (Branched) (NP) ,TX006468,TO-53,84852-15-3 ,AT001907
Phenanthrene,TX009691,TP0000434,85-01-8,AT001908
"1,5-anhydro-2,3-dideoxy-4-O-methyl-3-{[(1R,3S)-3-(propan-2-yl)-3-{[3-(trifluoromethyl)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl]carbonyl}cyclopentyl]ammonio}-D-erythro-pentitol 3-carboxypropanoate",TX006255,plate-TO-5-2,851916-42-2,AT001909
(35-Dimethyl-1H-pyrazol-1-yl)methanol,TX000990,TP0000722,85264-33-1,AT001910
1236-Tetrahydrophthalimide,TX005134,TP0000719,85-40-5,AT001911
Phthalimide,TX002234,TP0000720,85-41-6,AT001912
Phthalic acid diundecyl ester branched and linear,TX010164,TP0000719,85507-79-5,AT001913
N-(Butan-2-yl)-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide,TX011613,TP0000434,85532-75-8,AT001914
Butyl benzyl phthalate,TX009655,TP0000434,85-68-7,AT001915
Butyl benzyl phthalate ,TX006444,TO-53,85-68-7 ,AT001916
Butyl benzyl phthalate ,TX006496,TO-53,85-68-7 ,AT001917
C.I. Acid blue 74,TX008801,TP0000714,860-22-0,AT001918
Primisulfuron-methyl,TV000128,Phase_1,86209-51-0,AT001919
"1-(2-carboxyphenyl)-7-chloro-6-[(2-chloro-4,6-difluorophenyl)amino]-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",TX006243,plate-TO-5-2,862243-29-6,AT001920
N-Nitrosodiphenylamine,TX009695,TP0000434,86-30-6,AT001921
Fluconazole,TX009759,TP0000434,86386-73-4,AT001922
"N2-[4-cyano-3-(trifluoromethyl)phenyl]-N2-(2,2,2-trifluoroethyl)glycinamide",TX006209,plate-TO-5-1,864283-48-7,AT001923
Hexaflumuron,TX005619,TP0000434,86479-06-3,AT001924
Azinphos-methyl,TV000096,Phase_1,86-50-0,AT001925
Fluorene,TX009689,TP0000434,86-73-7,AT001926
1-Naphthaleneacetic acid,TX002225,TP0000723,86-87-3,AT001927
Dimethyl hydrogen phosphite,TX009587,TP0000718,868-85-9,AT001928
2H-1-Benzopyran-2-one 7-(dimethylamino)-4-methyl-,TX004357,TP0000720,87-01-4,AT001929
4-tert-Butylphenyl salicylate,TX012216,TP0000723,87-18-3,AT001930
Ethyl 2-methylbenzoate,TX008173,TP0000715,87-24-1,AT001931
N-Methyl-2-pyrrolidone,TX002765,TP0000133,872-50-4,AT001932
Ethyl anthranilate,TX002130,TP0000720,87-25-2,AT001933
S-Metolachlor,TX004526,TP0000721,87392-12-9,AT001934
Flumiclorac-pentyl,TV000255,Phase_1,87546-18-7,AT001935
"1,2,3-Trichlorobenzene",TX007252,TP0000434,87-61-6,AT001936
"2,6-Dimethylaniline",TX002215,TP0000133,87-62-7,AT001937
Dimethenamid,TV000148,Phase_1,87674-68-8,AT001938
"Hexachloro-1,3-butadiene",TX007618,TP0000719,87-68-3,AT001939
L-Tartaric acid,TX003934,TP0000133,87-69-4,AT001940
Monopotassium phthalate,TX002895,TP0000722,877-24-7,AT001941
Cinmethylin,TV000288,Phase_1,87818-31-3,AT001942
Tralkoxydim,TV000276,Phase_1,87820-88-0,AT001943
Pentachlorophenol,TX001735,TP0000131,87-86-5,AT001944
Symclosene,TV000005,Phase_1,87-90-1,AT001945
4-Chloro-35-dimethylphenol,TX007383,TP0000720,88-04-0,AT001946
"2,4,6-Trichlorophenol",TX005237,TP0000308,88-06-2,AT001947
N-Vinyl-2-pyrrolidone,TX002405,TP0000308,88-12-0,AT001948
2-tert-Butylphenol,TX001346,TP0000131,88-18-6,AT001949
"2,2'-Methylenebis(ethyl-6-tert-butylphenol)",TX012246,TP0000716,88-24-4,AT001950
3-Trifluoromethyl-4-nitrophenol,TX003127,TP0000724,88-30-2,AT001951
2-tert-Butylcyclohexyl acetate,TX003542,TP0000716,88-41-5,AT001952
"2,5-Di-tert-butylbenzene-1,4-diol",TX003958,TP0000131,88-58-4,AT001953
2-tert-Butyl-5-methylphenol,TX006973,TP0000434,88-60-8,AT001954
Myclobutanil,TV000242,Phase_1,88671-89-0,AT001955
2-Isopropylphenol,TX007423,TP0000718,88-69-7,AT001956
2-Nitrotoluene,TX001843,TP0000133,88-72-2,AT001957
2-Nitroaniline,TX005166,TP0000714,88-74-4,AT001958
2-Nitrophenol,TX005192,TP0000717,88-75-5,AT001959
Dinoseb,TX005994,TP0000434,88-85-7,AT001960
Trioctyl trimellitate,TX011745,TP0000434,89-04-3,AT001961
Methyl 2-methylbenzoate,TX012225,TP0000720,89-71-4,AT001962
2-(Butan-2-yl)phenol,TX002098,TP0000133,89-72-5,AT001963
2-(Butan-2-yl)phenol,TX102098,TP0000308,89-72-5,AT001964
dl-Menthol,TX002377,TP0000717,89-78-1,AT001965
Thymol,TX002784,TP0000133,89-83-8,AT001966
13-Dimethyl-4-nitrobenzene,TX007658,TP0000715,89-87-2,AT001967
2-Ethylphenol,TX002439,TP0000722,90-00-6,AT001968
Salicylaldehyde,TX003285,TP0000723,90-02-8,AT001969
Pluronic F-127,TX011633,TP0000719,9003-11-6,AT001970
2-Anisidine,TX002185,TP0000308,90-04-0,AT001971
Poly(oxy-12-ethanediyl) .alpha.-sulfo-.omega.-(dodecyloxy)- sodium salt,TX009807,TP0000721,9004-82-4,AT001972
"Poly(oxy-1,2-ethanediyl), .alpha.-[(9Z)-1-oxo-9-octadecenyl]-.omega.-hydroxy-",TX011516,TP0000721,9004-96-0,AT001973
2-Methoxyphenol,TX001812,TP0000716,90-05-1,AT001974
Polysorbate 80,TX011508,TP0000714,9005-65-6,AT001975
1-Methylnaphthalene,TX001801,TP0000434,90-12-0,AT001976
1-Naphthol,TX002587,TP0000715,90-15-3,AT001977
Isocyanic acid polymethylenepolyphenylene ester,TX009581,TP0000719,9016-87-9,AT001978
N-Phenyl-1-naphthylamine,TX003133,TP0000721,90-30-2,AT001979
Bicalutamide,TX012541,TP0000718,90357-06-5,AT001980
Bicalutamide ,TX006451,TO-53,90357-06-5 ,AT001981
2-Phenylphenol,TV000045,Phase_1,90-43-7,AT001982
246-Tris(dimethylaminomethyl)phenol,TX009483,TP0000718,90-72-2,AT001983
Denatonium saccharide,TX009412,TP0000718,90823-38-4,AT001984
Michlers ketone,TX006925,TP0000307,90-94-8,AT001985
C10-21 sulfonic acids phenyl esters,TX001586,TP0000434,91082-17-6,AT001986
Naphthalene,TX001280,TP0000131,91-20-3,AT001987
Quinoline,TX002359,TP0000308,91-22-5,AT001988
lambda-Cyhalothrin,TX011639,TP0000721,91465-08-6,AT001989
Ethoxyquin,TX001384,TP0000131,91-53-2,AT001990
2-Naphthylamine,TX002103,TP0000308,91-59-8,AT001991
6-Methylquinoline,TX009238,TP0000307,91-62-3,AT001992
Coumarin,TX002233,TP0000133,91-64-5,AT001993
"N,N-Diethylaniline",TX009649,TP0000434,91-66-7,AT001994
2-Chloro-4-phenylphenol,TX004104,TP0000720,92-04-6,AT001995
N-Nitrosodibutylamine,TX006136,TP0000434,924-16-3,AT001996
Biphenyl,TX004371,TP0000131,92-52-4,AT001997
4-Cyclohexylcyclohexanone,TX006030,TP0000795,92-68-2,AT001998
4-Cyclohexylcyclohexanone,TX006030,TP0000715,92-68-2,AT001999
4-Cyclohexylcyclohexanone,TX106030,TP0000716,92-68-2,AT002000
4-Cyclohexylcyclohexanone,TX206030,TP0000719,92-68-2,AT002001
4-Phenylphenol,TX002435,TP0000719,92-69-3,AT002002
Phenothiazine,TX002553,TP0000434,92-84-2,AT002003
Benzidine,TX005215,TP0000434,92-87-5,AT002004
(Z)-3-Hexen-1-ol,TX003431,TP0000721,928-96-1,AT002005
"2,2-[Ethane-1,2-diylbis(oxy)]diethanamine",TX004280,TP0000795,929-59-9,AT002006
"ethyl [(7-{[2-(3-chlorophenyl)-2-hydroxyethyl]amino}-5,6,7,8-tetrahydronaphthalen-2-yl)oxy]acetate hydrochloride",TX006232,plate-TO-5-2,929601-09-2,AT002007
N-Nitrosopyrrolidine,TX007694,TP0000714,930-55-2,AT002008
2'-Acetonaphthone,TX007873,TP0000723,93-08-3,AT002009
Methyleugenol,TX002379,TP0000131,93-15-2,AT002010
Styrene glycol,TX007367,TP0000716,93-56-1,AT002011
Mecoprop,TX002199,TP0000719,93-65-2,AT002012
"2,4,5-Trichlorophenoxyacetic acid",TX002451,TP0000721,93-76-5,AT002013
"2,4,5-Trichlorophenoxyacetic acid",TX006450,TO-53,93-76-5 ,AT002014
tert-Butyl phenyl ketone,TX012255,TP0000718,938-16-9,AT002015
Ethyl benzoate,TX007317,TP0000714,93-89-0,AT002016
Benzenemethanol alpha-methyl- acetate,TX003167,TP0000721,93-92-5,AT002017
Phenyl benzoate,TX012546,TP0000723,93-99-2,AT002018
Ethyl 4-methylbenzoate,TX012215,TP0000720,94-08-6,AT002019
Ethyl 4-aminobenzoate,TX002595,TP0000722,94-09-7,AT002020
Prosulfuron,TV000138,Phase_1,94125-34-5,AT002021
Prosulfuron,TV000303,Phase_1,94125-34-5,AT002022
Prosulfuron,TV000311,Phase_1,94125-34-5,AT002023
Propylparaben,TX002985,TP0000133,94-13-3,AT002024
1-Phenyl-1H-pyrrole-25-dione,TX003237,TP0000716,941-69-5,AT002025
Benzylparaben,TX009040,TP0000722,94-18-8,AT002026
Butylparaben,TX001640,TP0000131,94-26-8,AT002027
Butylparaben,TX001640,TP0000718,94-26-8,AT002028
Butylparaben,TX101640,TP0000719,94-26-8,AT002029
Butylparaben,TX201640,TP0000721,94-26-8,AT002030
Triethylene glycol bis(2-ethylhexanoate),TX008982,TP0000307,94-28-0,AT002031
